City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
179,alice springs,-23.7,133.8833,9.75,57,91,0.0,AU,1722719239
180,rio grande,-32.035,-52.0986,25.06,87,46,3.64,BR,1722719240
181,mersrags,57.3354,23.1246,15.2,86,38,3.96,LV,1722719242
182,meulaboh,4.1363,96.1285,23.34,97,100,3.65,ID,1722719243
183,mahina,-17.5065,-149.489,25.87,57,40,5.14,PF,1722719244
184,rosario do sul,-30.2583,-54.9142,23.07,69,36,3.32,BR,1722719152
185,eureka,40.8021,-124.1637,19.55,80,99,0.89,US,1722719246
186,zemetchino,53.4973,42.6163,17.89,64,100,2.55,RU,1722719248
187,kinmparana,12.8402,-4.9199,25.64,83,100,3.48,ML,1722719249
188,minas de matahambre,22.5887,-83.9447,24.69,92,100,1.9,CU,1722719250
189,el quebrachal,-25.2833,-64.0667,25.61,26,38,6.18,AR,1722719251
190,saguenay,48.4168,-71.0657,24.06,81,100,5.14,CA,1722719096
191,mount gambier,-37.8333,140.7667,3.65,94,99,2.02,AU,1722719253
192,mahajanga,-15.7167,46.3167,21.05,83,69,1.62,MG,1722719254
193,valdivia,-39.8142,-73.2459,11.05,93,100,2.6,CL,1722718953
194,codrington,-38.2667,141.9667,4.31,92,65,3.82,AU,1722719256
195,sosnovo-ozerskoye,52.5249,111.5418,13.24,97,100,2.78,RU,1722719257
196,acarau,-2.8856,-40.12,25.75,76,55,8.44,BR,1722719258
197,laguna,38.421,-121.4238,39.5,24,0,3.6,US,1722719259
198,corumba,-19.0092,-57.6533,33.95,27,10,5.14,BR,1722719260
199,grand falls-windsor,48.9332,-55.6649,27.5,57,74,1.34,CA,1722719261
200,punta del este,-34.9667,-54.95,13.06,96,40,6.26,UY,1722719151
201,broken hill,-31.95,141.4333,11.49,41,100,2.56,AU,1722719263
202,phan thiet,10.9333,108.1,25.13,92,13,2.58,VN,1722719264
203,katabu,-4.9333,122.5167,21.43,94,64,1.4,ID,1722719266
